ballBrand,ballType,modelName,type
Titleist,2Pieces,NXT Tour,BALL
Titleist,2Pieces,NXT Tour S,BALL
Titleist,2Pieces,PINNACLE BLING,BALL
Titleist,2Pieces,PINNACLE GOLD,BALL
Titleist,2Pieces,Velocity,BALL
Titleist,2Pieces,DT Solo,BALL
Titleist,2Pieces,Tour Distance SF,BALL
Titleist,3Pieces,Pro V1,BALL
Titleist,3Pieces,NXT Tour,BALL
Titleist,3Pieces,NXT Tour S,BALL
Titleist,3Pieces,VG3,BALL
Titleist,4Pieces,Pro V1x,BALL
Callaway,2Pieces,SUPERSOFT,BALL
Callaway,2Pieces,WARBIRD,BALL
Callaway,2Pieces,WARBIRD PLUS,BALL
Callaway,2Pieces,WARBIRD 2.0,BALL
Callaway,2Pieces,HEX WARBIRD,BALL
Callaway,3Pieces,Chrome Soft Truvis,BALL
Callaway,3Pieces,Chrome Soft,BALL
Callaway,3Pieces,SUPERHOT,BALL
Callaway,3Pieces,HEX HOT,BALL
Callaway,3Pieces,HEX CONTROL,BALL
Callaway,3Pieces,HEX CHROME,BALL
Callaway,3Pieces,HX DIABLO TOUR,BALL
Callaway,3Pieces,X2 HOT,BALL
Callaway,3Pieces,X2 HOT PLUS,BALL
Callaway,3Pieces,E.R.C,BALL
Callaway,4Pieces,SR1,BALL
Callaway,4Pieces,SR2.5,BALL
Callaway,4Pieces,HEX CHROME PLUS,BALL
Callaway,4Pieces,Legacy Platinum,BALL
Callaway,5Pieces,SR2,BALL
Callaway,5Pieces,SR3,BALL
Callaway,5Pieces,HEX BLACK TOUR,BALL
NIKE,2Pieces,Power Distance,BALL
NIKE,2Pieces,Power Distance 7,BALL
NIKE,2Pieces,Power Distance 8,BALL
NIKE,2Pieces,Power Distance 9,BALL
NIKE,2Pieces,NDX HEAT,BALL
NIKE,2Pieces,Crush Extreme,BALL
NIKE,2Pieces,NDX Turbo,BALL
NIKE,2Pieces,SFT,BALL
NIKE,3Pieces,RZN RED,BALL
NIKE,3Pieces,RZN WHITE,BALL
NIKE,3Pieces,HYPERFLIGHT,BALL
NIKE,3Pieces,ONE RZN,BALL
NIKE,4Pieces,RZN BLACK,BALL
NIKE,4Pieces,RZN PLATINUM,BALL
NIKE,4Pieces,20XI,BALL
NIKE,4Pieces,20XI-S,BALL
NIKE,4Pieces,20XI-X,BALL
NIKE,4Pieces,VAPOR BLACK 2.0,BALL
SRIXON,2Pieces,2015 Soft Feel,BALL
