clubBrand,clubType,modelName,type
Taylormade,Driver,M1,CLUB
Taylormade,Driver,R15,CLUB
Taylormade,Driver,R15 430,CLUB
Taylormade,Driver,R11,CLUB
Taylormade,Driver,R11S,CLUB
Taylormade,Driver,R11J,CLUB
Taylormade,Driver,R9,CLUB
Taylormade,Driver,R9 Max,CLUB
Taylormade,Driver,R9 SuperMax,CLUB
Taylormade,Driver,R9 SuperTri,CLUB
Taylormade,Driver,R7,CLUB
Taylormade,Driver,R7 Quad,CLUB
Taylormade,Driver,R7 SuperQuad,CLUB
Taylormade,Driver,R7 CGB MAX,CLUB
Taylormade,Driver,R5,CLUB
Taylormade,Driver,R5 Dual TP,CLUB
Taylormade,Driver,R1,CLUB
Taylormade,Driver,R1 TP,CLUB
Taylormade,Driver,R1 Black,CLUB
Taylormade,Driver,R540,CLUB
Taylormade,Driver,R540XD,CLUB
Taylormade,Driver,R580,CLUB
Taylormade,Driver,R580XD,CLUB
Taylormade,Driver,Aero Burner,CLUB
Taylormade,Driver,Aero Burner MINI,CLUB
Taylormade,Driver,Aero Burner(여성용),CLUB
Taylormade,Driver,SLDR S,CLUB
Taylormade,Driver,SLDR_White,CLUB
Taylormade,Driver,SLDR 430,CLUB
Taylormade,Driver,SLDR Draw,CLUB
Taylormade,Driver,SLDR MINI,CLUB
Taylormade,Driver,Burner(2007),CLUB
Taylormade,Driver,Burner(2009),CLUB
Taylormade,Driver,Burner Plus,CLUB
Taylormade,Driver,Burner Draw,CLUB
Taylormade,Driver,Burner Superfast 1.0,CLUB
Taylormade,Driver,Burner Superfast 2.0,CLUB
Taylormade,Driver,Burner Superfast 3.0,CLUB
Taylormade,Driver,Gloire,CLUB
Taylormade,Driver,Gloire(여성용),CLUB
Taylormade,Driver,Gloire F,CLUB
Taylormade,Driver,Gloire G,CLUB
Taylormade,Driver,JETSPEED,CLUB
Taylormade,Driver,SLDR,CLUB
Taylormade,Driver,RBZ,CLUB
Taylormade,Driver,RBZ TOUR,CLUB
Taylormade,Driver,RBZ Dr BOND,CLUB
Taylormade,Driver,RBZ Stage2,CLUB
Taylormade,Driver,Rocketbladez Tour,CLUB
Taylormade,Iron,RSi 1,CLUB
Taylormade,Iron,RSi 2,CLUB
Taylormade,Iron,RSi TP,CLUB
Taylormade,Iron,SLDR,CLUB
Taylormade,Iron,TP MC,CLUB
Taylormade,Iron,TP MB,CLUB
Taylormade,Iron,TP CB,CLUB
Taylormade,Iron,Gloire,CLUB
Taylormade,Iron,Gloire Forged,CLUB
Taylormade,Iron,Speedblade,CLUB
Taylormade,Iron,Speedblade HL,CLUB
Taylormade,Iron,RocketBladez ,CLUB
Taylormade,Iron,Rocketbladez Tour,CLUB
Taylormade,Iron,Rocketbladez HL,CLUB
Taylormade,Iron,RBZ,CLUB
Taylormade,Iron,RBZ SL,CLUB
Taylormade,Iron,RBZ HP,CLUB
Taylormade,Iron,RBZ HL,CLUB
Taylormade,Iron,Burner(2009),CLUB
Taylormade,Iron,Burner HT,CLUB
Taylormade,Iron,Burner OS,CLUB
Taylormade,Iron,Burner XD,CLUB
Taylormade,Iron,Burner 1.0,CLUB
Taylormade,Iron,Burner 2.0,CLUB
Taylormade,Iron,Burner 3.0,CLUB
Taylormade,Iron,Burner Plus,CLUB
Taylormade,Iron,Burner Super Launch,CLUB
Taylormade,Iron,Aero Burner,CLUB
Taylormade,Iron,Tour Burner,CLUB
Taylormade,Iron,R11,CLUB
Taylormade,Iron,R9,CLUB
Taylormade,Iron,R9 TP,CLUB
Taylormade,Iron,R9 Forged,CLUB
Taylormade,Iron,R9 Max,CLUB
Taylormade,Iron,R9 SUPERMAX,CLUB
Taylormade,Iron,R7,CLUB
Taylormade,Iron,R7 Draw,CLUB
Taylormade,Iron,R7 CGB,CLUB
Taylormade,Iron,R7 CGB MAX,CLUB
Taylormade,Iron,R7 XD,CLUB
Taylormade,Iron,R7 TP,CLUB
Taylormade,Iron,RAC OS,CLUB
Taylormade,Iron,RAC OS II,CLUB
Taylormade,Iron,RAC LT,CLUB
Taylormade,Iron,RAC TP MB,CLUB
Taylormade,Iron,RAC CB,CLUB
Taylormade,Iron,RAC MB,CLUB
Taylormade,FairwayWood,M1,CLUB
Taylormade,FairwayWood,R15,CLUB
Taylormade,FairwayWood,R15 Black,CLUB
Taylormade,FairwayWood,R11,CLUB
Taylormade,FairwayWood,R11S,CLUB
Taylormade,FairwayWood,R9,CLUB
Taylormade,FairwayWood,R9 Max,CLUB
Taylormade,FairwayWood,R9 SuperMax,CLUB
Taylormade,FairwayWood,R7,CLUB
Taylormade,FairwayWood,R7 Draw,CLUB
Taylormade,FairwayWood,R7 CGB MAX,CLUB
Taylormade,FairwayWood,R7 ti,CLUB
Taylormade,FairwayWood,R7 st,CLUB
Taylormade,FairwayWood,R5 Dual,CLUB
Taylormade,FairwayWood,R5 XL,CLUB
Taylormade,FairwayWood,Gloire,CLUB
Taylormade,FairwayWood,Gloire F,CLUB
Taylormade,FairwayWood,SLDR-S,CLUB
Taylormade,FairwayWood,SLDR,CLUB
Taylormade,FairwayWood,JETSPEED,CLUB
Taylormade,FairwayWood,RBZ,CLUB
Taylormade,FairwayWood,RBZ Stage2,CLUB
Taylormade,FairwayWood,RBZ SL,CLUB
Taylormade,FairwayWood,Aero Burner,CLUB
Taylormade,FairwayWood,Aero Burner Black,CLUB
Taylormade,FairwayWood,Burner Superfast 1.0,CLUB
Taylormade,FairwayWood,Burner Superfast 2.0,CLUB
Taylormade,FairwayWood,Burner Superfast 3.0,CLUB
Taylormade,FairwayWood,Burner HighLaunch,CLUB
Taylormade,FairwayWood,Perfica,CLUB
Taylormade,Utility,M1,CLUB
Taylormade,Utility,R15 Rescue,CLUB
Taylormade,Utility,R11,CLUB
Taylormade,Utility,R9 SuperMax,CLUB
Taylormade,Utility,R7 Draw,CLUB
