clubBrand,clubType,modelName,type
Taylormade,Driver,M1,CLUB
Taylormade,Driver,R15,CLUB
Taylormade,Driver,R15 430,CLUB
Taylormade,Driver,R11,CLUB
Taylormade,Driver,R11S,CLUB
Taylormade,Driver,R11J,CLUB
Taylormade,Driver,R9,CLUB
Taylormade,Driver,R9 Max,CLUB
Taylormade,Driver,R9 SuperMax,CLUB
Taylormade,Driver,R9 SuperTri,CLUB
Taylormade,Driver,R7,CLUB
Taylormade,Driver,R7 Quad,CLUB
Taylormade,Driver,R7 SuperQuad,CLUB
Taylormade,Driver,R5,CLUB
Taylormade,Driver,R5 Dual TP,CLUB
Taylormade,Driver,R1,CLUB
Taylormade,Driver,R1 TP,CLUB
Taylormade,Driver,R1 Black,CLUB
Taylormade,Driver,R540XD,CLUB
Taylormade,Driver,R580XD,CLUB
Taylormade,Driver,Aero Burner,CLUB
Taylormade,Driver,Aero Burner MINI,CLUB
Taylormade,Driver,SLDR-S,CLUB
Taylormade,Driver,SLDR_White,CLUB
Taylormade,Driver,SLDR 430,CLUB
Taylormade,Driver,SLDR Draw,CLUB
Taylormade,Driver,SLDR MINI,CLUB
Taylormade,Driver,Burner 1.0,CLUB
Taylormade,Driver,Burner 2.0,CLUB
Taylormade,Driver,Burner 3.0,CLUB
Taylormade,Driver,Burner Superfast 1.0,CLUB
Taylormade,Driver,Burner Superfast 2.0,CLUB
Taylormade,Driver,Gloire,CLUB
Taylormade,Driver,Gloire 2,CLUB
Taylormade,Driver,Gloire F,CLUB
Taylormade,Driver,JETSPEED,CLUB
Taylormade,Driver,SLDR,CLUB
Taylormade,Driver,RBZ,CLUB
Taylormade,Driver,RBZ TOUR,CLUB
Taylormade,Driver,RBZ Dr BOND,CLUB
Taylormade,Driver,RBZ Stage2,CLUB
Taylormade,Iron,RSI 1,CLUB
Taylormade,Iron,RSI 2,CLUB
Taylormade,Iron,RSI TP,CLUB
Taylormade,Iron,SLDR-S,CLUB
Taylormade,Iron,TP MC,CLUB
Taylormade,Iron,TP MB,CLUB
Taylormade,Iron,TP CB,CLUB
Taylormade,Iron,Gloire,CLUB
Taylormade,Iron,Gloire F,CLUB
Taylormade,Iron,Speedblade,CLUB
Taylormade,Iron,Speedblade HL,CLUB
Taylormade,Iron,Gloire Forged,CLUB
Taylormade,Iron,RocketBladez ,CLUB
Taylormade,Iron,RocketBladez HP,CLUB
Taylormade,Iron,RBZ,CLUB
Taylormade,Iron,RBZ SL,CLUB
Taylormade,Iron,RBZ HP,CLUB
Taylormade,Iron,RBZ HL,CLUB
Taylormade,Iron,Burner,CLUB
Taylormade,Iron,Burner HT,CLUB
Taylormade,Iron,Burner 1.0,CLUB
Taylormade,Iron,Burner 2.0,CLUB
Taylormade,Iron,Burner 3.0,CLUB
Taylormade,Iron,Burner Plus,CLUB
Taylormade,Iron,Burner Superfast 1.0,CLUB
Taylormade,Iron,Burner Superfast 2.0,CLUB
Taylormade,Iron,Burner Super Launch,CLUB
Taylormade,Iron,Aero Burner,CLUB
Taylormade,Iron,New Burner,CLUB
Taylormade,Iron,R11,CLUB
Taylormade,Iron,R9 Forged,CLUB
Taylormade,Iron,R9 Max,CLUB
Taylormade,Iron,R7 Series,CLUB
Taylormade,Iron,R5 Series,CLUB
Taylormade,Iron,RAC Series,CLUB
Taylormade,FairwayWood,M1,CLUB
Taylormade,FairwayWood,R15,CLUB
Taylormade,FairwayWood,R11,CLUB
Taylormade,FairwayWood,R11S,CLUB
Taylormade,FairwayWood,R9,CLUB
Taylormade,FairwayWood,R9 Max,CLUB
Taylormade,FairwayWood,R9 SuperMax,CLUB
Taylormade,FairwayWood,R9 SuperTri,CLUB
Taylormade,FairwayWood,R7 Series,CLUB
Taylormade,FairwayWood,R5 Series,CLUB
Taylormade,FairwayWood,Gloire,CLUB
Taylormade,FairwayWood,Gloire F,CLUB
Taylormade,FairwayWood,SLDR-S,CLUB
Taylormade,FairwayWood,SLDR,CLUB
Taylormade,FairwayWood,JETSPEED,CLUB
Taylormade,FairwayWood,RBZ,CLUB
Taylormade,FairwayWood,RBZ Stage2,CLUB
Taylormade,FairwayWood,RBZ SL,CLUB
Taylormade,FairwayWood,Aero Burner,CLUB
Taylormade,FairwayWood,Burner Superfast 1.0,CLUB
Taylormade,FairwayWood,Burner Superfast 2.0,CLUB
Taylormade,FairwayWood,Burner HighLaunch,CLUB
Taylormade,FairwayWood,Burner 1.0,CLUB
Taylormade,FairwayWood,Burner 2.0,CLUB
Taylormade,FairwayWood,Burner 3.0,CLUB
Taylormade,FairwayWood,Perfica,CLUB
Taylormade,FairwayWood,V-Steel Series,CLUB
Taylormade,Utility,M1 Rescue,CLUB
Taylormade,Utility,R15 Rescue,CLUB
Taylormade,Utility,R11,CLUB
Taylormade,Utility,R11S,CLUB
Taylormade,Utility,R9,CLUB
Taylormade,Utility,R9 Max,CLUB
Taylormade,Utility,R9 SuperMax,CLUB
Taylormade,Utility,R9 SuperTri,CLUB
Taylormade,Utility,R7 Series,CLUB
Taylormade,Utility,R5 Series,CLUB
Taylormade,Utility,Gloire,CLUB
Taylormade,Utility,Gloire F,CLUB
Taylormade,Utility,SLDR-S,CLUB
Taylormade,Utility,SLDR Rescue,CLUB
Taylormade,Utility,JETSPEED Rescue,CLUB
Taylormade,Utility,RBZ Rescue,CLUB
Taylormade,Utility,RBZ Stage2 Rescue,CLUB
Taylormade,Utility,Aero Burner,CLUB
Taylormade,Utility,Burner Superfast 1.0,CLUB
Taylormade,Utility,Burner Superfast 2.0,CLUB
Taylormade,Utility,Burner 1.0,CLUB
Taylormade,Utility,Burner 2.0,CLUB
Taylormade,Utility,Burner 3.0,CLUB
Taylormade,Wedge,ATV,CLUB
Taylormade,Wedge,XFT,CLUB
Taylormade,Wedge,Tour Preferred,CLUB
Taylormade,Wedge,Z-SPIN,CLUB
